Timestamp,BMP_Temperature_C,BMP_Pressure_hPa,BMP_Altitude_m,DHT_Temperature_C,DHT_Humidity_percent,BH1750_Light_lx
2025-03-18 23:51:24.731374+00:00,0.6,774.83,2205.99744799703,1.6,71,1747.91666666667
2025-03-18 23:51:31.109341+00:00,0.6,774.89,2206.4112602092,1.6,71,1750.20833333333
2025-03-18 23:51:36.189612+00:00,0.6,774.86,2206.04917364518,1.6,71,1752.08333333333
2025-03-18 23:51:36.190869+00:00,0.6,774.89,2205.37676291998,1.6,71,1750.83333333333
2025-03-18 23:51:42.328654+00:00,0.6,774.86,2205.53193391893,1.6,71,1777.29166666667
2025-03-18 23:51:47.410698+00:00,0.6,774.91,2205.48020827093,1.6,71,1766.25
2025-03-18 23:51:47.414056+00:00,0.6,774.91,2205.06643497364,1.6,71,1805.83333333333
2025-03-18 23:51:53.790736+00:00,0.6,775.005,2204.65268167103,1.6,71,1776.875
2025-03-18 23:51:58.869401+00:00,0.6,774.865,2205.89399778176,1.6,71,1750.83333333333
2025-03-18 23:51:58.876989+00:00,0.6,774.91,2205.89399778176,1.6,71,1771.66666666667
2025-03-18 23:52:05.012394+00:00,0.6,774.99,2204.44580826193,1.6,71,1757.91666666667
2025-03-18 23:52:10.091098+00:00,0.6,774.92,2205.73882786376,1.6,71,1762.70833333333
2025-03-18 23:52:10.095193+00:00,0.6,774.86,2205.58365362188,1.6,71,1767.08333333333
2025-03-18 23:52:16.474898+00:00,0.6,774.86,2205.79056215973,1.5,71,1740.41666666667
2025-03-18 23:52:21.558845+00:00,0.6,774.96,2205.16988140531,1.45,71,1756.45833333333
2025-03-18 23:52:21.560150+00:00,0.6,775.02,2203.20467154328,1.5,71,1792.5
2025-03-18 23:52:27.690319+00:00,0.5,774.86,2205.06643497364,1.5,71,1757.70833333333
2025-03-18 23:52:32.771696+00:00,0.5,774.865,2205.63537818899,1.5,71,1750.41666666667
2025-03-18 23:52:32.776991+00:00,0.5,774.9,2205.99744799703,1.5,71,1739.58333333333
